Symbol	GSM3446059	GSM3446060	GSM3446061	GSM3446062	GSM3446063	GSM3446064	GSM3446065	GSM3446066	GSM3446067	GSM3446068	GSM3446069	GSM3446070
LOC100128840	-2.82675075067078	-1.42826192822459	-2.63535022542476	-2.88249275293633	-1.74513180729632	-0.889390387386575	-2.44525925075501	-3.1847801212079	-2.85616563720633	-2.81451095513369	-3.14986153027739	-2.82095216546755
LOC100129373	-2.86055948875094	-1.46840208179924	-2.66633342302019	-2.4403394354472	-1.774814721783	-0.920100479756496	-3.11829103485598	-2.24510163476453	-2.90938547234593	-3.33844564963191	-2.4885457392493	-2.86606516516773
LOC100130238	-0.0574504702489759	1.4405331283069	-0.0462811882833993	-0.0244169120325966	1.23291688659791	2.02266459094123	0.139329231087972	-0.226684050658449	0.312172086715619	-0.173605824972354	0.105273893706253	0.290228042218523
LOC100130976	-2.69215744268546	-1.2753508180044	-2.49489870855177	-2.72857387318872	-1.32270406690741	-0.752468448860702	-2.95253645239096	-3.07125475950697	-2.73794675247457	-2.45999771718186	-2.23805648753063	-2.70513357858382
LOC100131907	-2.77779426359106	-1.37526590274423	-2.58048055756549	-2.83260695794544	-1.68611649346584	-0.830714785455556	-2.99488033655539	-3.12269459272196	-2.7882936414212	-2.97018697094856	-3.08150044546158	-2.08861922406272
LOC100132735	-2.59934698923357	-1.43120047598401	-2.37394412234019	-1.88161427876133	-1.53797291450464	-0.684482967490916	-1.23623076261395	-2.14558664334372	-1.37892930386199	-2.01838411000969	-2.45117713570994	-1.78945437300487
LOC100133091	0.44523068433506	1.59260455940071	0.309451746195907	0.436443837697891	0.941495369064872	1.92630869389409	0.186390853464126	0.0724532537191324	0.41390777892047	0.0986570799529998	0.238003604582416	0.48098118479816
LOC100287160	-2.66273931116526	-1.24694758665413	-2.24713498414319	-2.68100109892298	-1.57851862830089	-0.71335741239557	-2.27460482724807	-3.03038311967376	-2.69015169431695	-2.51554687984187	-2.65597849850296	-2.64817960937738
LOC100505504	-2.38202518644268	-1.42865402683411	-2.44937970597809	-2.85759548581015	-1.73421502723989	-0.847316366391772	-3.04294990580011	-2.7385738977797	-2.81817539148272	-2.94848933429136	-2.94333619945157	-2.45533398162317
LOC100505878	-2.82990969611543	-1.4198803281149	-2.23104955815042	-2.86533578962496	-1.73458414186447	-0.878946268161156	-2.47164082325016	-3.18095228681749	-2.84577469249099	-3.24023963968368	-3.13817989213108	-2.80236853994344
LOC100506281	-2.172481301639	-1.28186723453415	-2.46033250665388	-2.70942451003226	-1.57176488190086	-0.728496577098721	-2.71959207298517	-2.5819718667695	-2.69329476003696	-1.98359751894047	-2.98076833384814	-2.62858697360258
LOC100506476	-2.09878389675753	-0.960839217133841	-2.42598817909057	-1.58037219533129	-1.54897995862365	-0.796764550823308	-1.7846481755208	-2.14568407168289	-1.84064976891088	-2.11235322619433	-2.08255853044601	-2.67978970731789
LOC100506725	-2.46075706304851	-1.21353331268976	-2.38213105656537	-2.70113508869943	-1.54391806358111	-0.591051822411855	-2.86534130891552	-2.95120730670613	-2.748933491251	-3.09523818313502	-2.89287606585934	-2.72092508587729
LOC100506922	0.794895295046206	-1.27697652638827	0.935341123370739	0.813646866777356	0.241239049352887	-0.752484253248619	1.05481689255077	1.40519537571291	1.05781004082789	0.603214134375748	1.08260453924584	0.613345492463857
LOC100507534	-2.69395602724399	-1.30067889996759	-2.49430372027791	-2.72937612572687	-1.59452887650359	-0.73499400003395	-2.81155219488224	-2.99893961156798	-2.67068291602455	-2.49301418319585	-2.95209789190447	-2.36797147212831
LOC100507537	-2.83978934362402	-1.44400531205094	-2.64634540523681	-2.89585157269382	-1.75535891167026	-0.899649518152513	-3.07822920871492	-2.87491734096792	-2.87288781078008	-2.54292257895385	-2.95028047553316	-2.83476956834533
LOC100507664	-2.78436251410794	-1.38733519059501	-2.58506053019296	-2.81499061414091	-1.68662810282291	-0.725343312119143	-2.61995237701003	-3.12105489055664	-2.7847749455586	-3.20425306051682	-2.47925285862877	-2.73125476663397
LOC100507670	-2.85386161694987	-1.43931166285973	-2.65442181715958	-2.24115721740173	-1.77639586217292	-0.731750348913274	-2.50365406553576	-2.9709337543768	-2.90647175611141	-2.33323529809908	-2.7625300408211	-2.87045903077884
LOC100628314	-2.66076100568013	-1.26764863635345	-2.46178963878176	-2.70259652944074	-1.55714425932223	-0.716917485007263	-2.9393893888342	-3.06420406654021	-2.38134026822666	-2.60819431415197	-3.02555722861105	-2.24529294476361
LOC100996412	-2.91984575395386	-1.52662685863068	-2.72621231837111	-2.96218595629992	-1.68298416161449	-0.974028854889473	-3.18004449039758	-2.96793395208859	-2.76836503059674	-2.67747499809524	-3.23753347639937	-2.91646251067918
LOC101059954	-2.87304461856415	-1.46304189169102	-2.66826112545903	-2.6717489208298	-1.78178152291461	-0.923398605564042	-3.14282832588467	-3.20517663867336	-2.92380880712499	-2.84040938959795	-2.99777109052956	-2.87523083831827
LOC101805491	-2.81981525991054	-1.42603229206057	-2.49539919249145	-2.86039764773214	-1.7289982083573	-0.875464410963259	-3.06697370687666	-3.18456923356548	-2.85007889662222	-2.80322048619226	-3.11596668888788	-2.73903841446524
LOC101926960	-2.66397041335761	-1.0539460552717	-2.56093987220107	-2.49497813738035	-1.72128782766073	-0.519410766423878	-3.04193388591633	-2.81772888218658	-2.5454664469556	-2.82316629246811	-2.77426793399368	-2.40901571434412
LOC101926975	-2.66318561766668	-1.24728261137322	-2.10986188394043	-2.69410205287386	-1.52484708239766	-0.466722970894973	-2.66646470692201	-2.67896032675133	-2.68225327410127	-2.93924775839943	-2.99077270258338	-2.47188115309791
LOC101927060	-1.10314951995202	-0.234522445320492	-1.03156451814411	-1.13584475575721	-0.312506140328687	0.480018249863956	-1.78341686135629	-1.33027241855218	-0.886658108571044	-1.50487675878097	-1.21998719693239	-1.0873031467635
LOC101927227	-2.53069491835795	-1.24481664630707	-2.46163277190643	-2.69512709530652	-1.58071382740409	-0.736809005668092	-2.89651491852784	-2.63745926719747	-2.67869639074385	-3.12338241185211	-2.98668179298924	-1.90188045128043
LOC101927361	-2.56069737297341	-1.12015703591442	-1.85719540412092	-1.74032094648665	-1.05393042631139	-0.699062914057918	-1.52407046178456	-3.0640716728861	-2.29477394956173	-2.91952136554923	-2.4313809275229	-1.73916747831203
LOC101927378	-2.44752051074487	-1.3302573607179	-2.53915375923718	-2.76333846212153	-1.64529902676473	-0.782724993120718	-2.73740950339519	-3.06660681427061	-2.72040325435739	-2.58143292914173	-2.87579504428412	-2.68545653854757
LOC101927645	-2.62440862175839	-1.21339773982342	-2.41370414613727	-2.65835730166376	-1.521038566619	-0.672411267341961	-2.92785437808852	-3.05205526939393	-2.67151337481486	-2.58641632280022	-2.17900797770548	-2.66037970638588
LOC101927735	-2.81502825760749	-1.41691690977909	-2.6156880625043	-2.84456401386648	-1.71858953303539	-0.864981763984435	-2.13555083545051	-3.15442797971657	-2.81737990022369	-3.23739701305829	-3.10765301607776	-2.76452936627201
LOC101927842	-2.67703755329385	-1.28342930773966	-2.46357012892006	-2.71019050992993	-1.57450904995624	-0.726892703719054	-2.74809601255549	-2.45092822266731	-2.67975669415488	-3.10357439919366	-2.62684718377143	-2.61446611923909
LOC101928227	-2.56022493961922	-1.18629247653461	-1.84229086814221	-2.76696625000162	-1.63633167311822	-0.478924086480839	-2.93368356975323	-3.05080671801439	-2.76251947964501	-3.0362568123186	-3.03460985238459	-2.66856402799423
LOC101928324	-2.67373481431809	-0.76308963025361	-1.64498710607145	-2.78444918832024	-1.45862594920921	-0.80148246757704	-1.9938493195476	-2.27152862155697	-2.67601678605766	-3.191726744063	-2.42994292418206	-1.58430036957159
LOC101928516	-2.85437683624913	-1.45472517915991	-2.66310514847979	-2.90790491123762	-1.77682027279202	-0.91643289947949	-2.54839532860292	-2.68730257927757	-2.88933897539966	-3.32220964566021	-3.18502237434936	-2.85395339265448
LOC101928829	-2.73161338011787	-1.30816523579314	-2.47342105449227	-2.76105112107383	-1.64384466411561	-0.782573250940136	-2.68567889773976	-3.04299718750914	-2.82136651368576	-3.25218880409698	-2.34640594417679	-2.77064161109162
LOC101928847	-2.79705502004128	-1.39003084107489	-2.60668061210852	-2.84721987615229	-1.72211896909781	-0.861875771335346	-3.03874456084848	-3.16185996563312	-2.83324408752879	-2.78663903116817	-2.46684718798119	-2.68128370147857
LOC101928978	-2.65440613619207	-1.36713664565622	-2.57703413613862	-2.81594762365551	-1.69184198572988	-0.832794585344784	-2.42216024853842	-2.89768822508553	-2.505870828584	-3.27868147041852	-2.98493695327031	-2.80323821586899
LOC101929144	-2.7980528711878	-1.03655800882931	-2.58995192180699	-2.47502160423419	-1.70229960373439	-0.83172594806263	-3.02281485835406	-3.14839301389255	-2.80404998212681	-2.28745258906196	-2.25176125528404	-2.76487441020655
LOC101929422	-2.70958163815355	-1.30130793195395	-2.52050058446039	-2.76057142803781	-1.63020204262608	-0.784411789731713	-2.00154649242068	-3.0570109829891	-2.72832468650592	-3.16525015633114	-3.02730895053606	-2.69630509568229
LOC101929595	-2.66634574566515	-1.11776066831097	-2.67145017857613	-2.91627475861079	-1.7940065660601	-0.931551581026875	-3.15301453834563	-2.93195595531927	-2.71408762975193	-2.61154186210465	-2.93652709631959	-2.88545655631503
LOC101929609	0.731044101540728	2.04261158217621	1.05153220657448	0.693088678848754	1.34382079725951	2.17463047356575	0.43736367129661	0.591695566847487	1.06635425808522	0.171540334379312	0.653896820167189	0.881889979480595
LOC101929610	-2.15338232534879	-1.24987100475655	-2.02806574789545	-1.61306855023051	-0.675878423548438	-0.703065700859074	-2.21140165284246	-2.09513258879815	-1.5378625005771	-2.28261018642115	-2.1447516030447	-2.3247012011245
LOC101929865	-1.29288997072456	0.36054026883601	-0.782312349476947	-1.00598025644713	-0.375078354780695	0.793643050492236	-0.930210457047102	-1.31270328824987	-0.748988977402919	-1.11650748635533	-1.04842412073291	-0.492887972201547
LOC102723617	-2.68660076876939	-1.27798498363204	-2.49314948076915	-2.73556440401223	-1.59584661892735	-0.753162290166692	-2.88528475267509	-3.01258260636343	-2.67908663423052	-3.11751767550342	-2.71436491701972	-2.05077588380407
LOC102723648	1.72632103769256	3.15928028496529	1.88277752603682	1.82993059874827	2.68852729803956	3.65156886992223	1.58295671310066	1.69099326668074	2.10597521579299	1.55229160463852	1.52948214099817	1.84328816875564
LOC102723649	-2.9614678610536	-1.55783421947517	-2.76304977104113	-2.99860010184532	-1.88359918426772	-1.01038976341473	-3.21844836624166	-3.33391317711549	-2.81625076254153	-2.81601647546901	-3.29758464548143	-2.58815487789675
LOC102723698	-2.75338660462522	-1.33453518787075	-2.55269984403269	-2.78618826625942	-1.67315699340449	-0.802673445359344	-3.02980732993592	-3.02271608393453	-2.81476603478873	-2.51656372081662	-2.46905243073595	-2.7815721849806
LOC102723970	-2.90313156104329	-1.48836652046365	-2.69931377009376	-2.93295871529747	-1.82249431057257	-0.947315586420405	-3.1722250189231	-3.03923176604157	-2.95406609146036	-2.33524196098925	-3.25528048083511	-2.91323784764545
LOC102724362	1.98622939623644	3.20886498439636	1.90111535854024	1.94712736951325	2.75822338560084	3.96087415421417	1.83507014648686	1.57473016524944	2.01814722960061	1.91438829527685	1.59106043551253	1.97184756258729
LOC102724453	-2.67207281396456	-1.25777232791192	-2.46818779596682	-2.69961951938061	-1.58663968329945	-0.763880978723576	-2.88449040699655	-2.16002634359324	-2.66022540274845	-3.10420108161809	-2.95973152739625	-2.60932068299479
LOC102724482	-2.71645794735103	-1.32070718001843	-2.51797622213724	-2.74948058377801	-1.61585368455609	-0.757632188462709	-2.91092516751888	-3.0192413388129	-1.98115036220065	-3.10673445127974	-2.97191497076476	-2.63360959749075
LOC102724710	-2.75572952061309	-1.29543799209529	-2.55735331160532	-2.80083511382906	-1.66118985408949	-0.802342397071704	-2.98008842907834	-2.64938675996756	-2.69846461993044	-3.18738339571588	-3.04873302481673	-2.71238430728612
LOC102724735	-2.80020835277072	-1.40329811503897	-2.26556942936885	-2.78368666927256	-1.70791832537135	-0.844866292712123	-2.8603170863851	-3.1351329481942	-2.47732342326754	-3.22894938068825	-2.72907481496995	-2.33623571753388
LOC102724791	-0.31514488152915	1.16657723633346	-0.168645318140279	-0.254220014339249	0.512229946043717	1.54891595962202	-0.628157340657011	-0.434278729333561	-0.0992834672669411	-0.903002135176466	-0.23559922970625	-0.268753577424713
LOC102725126	-1.07724685182263	-0.656990942090824	-0.624197888689238	-0.871700553883177	-0.614977550925411	-0.743054836090328	-1.38107857235907	-0.743078611126194	-0.848001403037527	-1.66676909649208	-0.842750661362716	-0.667413057846659
LOC149373	-2.92790588214046	-1.51073167848237	-2.71609306842119	-2.94455277564101	-1.83445976415058	-0.967716087613001	-2.71426579293347	-3.29874946350138	-2.96131764885612	-3.39642672934152	-2.90187986487277	-2.42849868346336
